year,county_name,yield_bu_per_acre
2019,TAYLOR,161.7
2019,UNION,168.9
2019,VAN BUREN,171.0
2019,WAPELLO,176.5
2019,WASHINGTON,178.9
2019,WAYNE,151.4
2019,WEBSTER,202.9
2019,WINNEBAGO,198.8
2019,WINNESHIEK,200.4
2019,WOODBURY,218.2
2019,WORTH,196.5
2019,WRIGHT,197.0
2020,ADAIR,168.7
2020,ADAMS,173.3
2020,ALLAMAKEE,196.3
2020,APPANOOSE,143.6
2020,AUDUBON,170.8
2020,BENTON,144.8
2020,BLACK HAWK,169.8
2020,BOONE,160.7
2020,BREMER,187.6
2020,BUCHANAN,188.3
2020,BUENA VISTA,183.9
2020,BUTLER,192.8
2020,CALHOUN,159.6
2020,CARROLL,150.6
2020,CASS,177.5
2020,CEDAR,153.3
2020,CERRO GORDO,182.5
2020,CHEROKEE,185.7
2020,CHICKASAW,185.7
2020,CLARKE,155.2
2020,CLAY,168.1
2020,CLAYTON,191.1
2020,CLINTON,178.4
2020,CRAWFORD,181.2
2020,DALLAS,139.7
2020,DAVIS,170.0
2020,DECATUR,159.3
2020,DELAWARE,190.4
2020,DES MOINES,190.2
2020,DICKINSON,182.2
2020,DUBUQUE,197.1
2020,EMMET,186.1
2020,FAYETTE,180.1
2020,FLOYD,187.4
2020,FRANKLIN,180.1
2020,FREMONT,194.8
2020,GREENE,153.8
2020,GRUNDY,182.7
2020,GUTHRIE,151.3
2020,HAMILTON,166.2
2020,HANCOCK,200.0
2020,HARDIN,155.7
2020,HARRISON,180.2
2020,HENRY,172.0
2020,HOWARD,188.6
2020,HUMBOLDT,188.4
2020,IDA,188.2
2020,IOWA,151.1
2020,JACKSON,185.6
2020,JEFFERSON,167.3
2020,JOHNSON,161.8
2020,JONES,171.6
2020,KEOKUK,163.5
2020,KOSSUTH,190.7
2020,LEE,174.3
2020,LINN,164.9
2020,LOUISA,181.6
2020,LUCAS,149.2
2020,LYON,197.0
2020,MADISON,172.0
2020,MAHASKA,180.8
2020,MILLS,182.2
2020,MITCHELL,203.3
2020,MONONA,178.4
2020,MONROE,153.8
2020,MONTGOMERY,184.6
2020,MUSCATINE,172.8
2020,O BRIEN,199.5
2020,OSCEOLA,185.3
2020,OTHER COUNTIES,175.4
2020,PAGE,181.6
2020,PALO ALTO,181.1
2020,POCAHONTAS,186.2
2020,POLK,150.2
2020,POTTAWATTAMIE,176.3
2020,POWESHIEK,138.2
2020,RINGGOLD,159.1
2020,SAC,161.0
2020,SCOTT,181.3
2020,SHELBY,190.5
2020,SIOUX,201.8
2020,STORY,148.4
2020,TAMA,132.7
2020,TAYLOR,166.2
2020,UNION,179.7
2020,VAN BUREN,153.5
2020,WAPELLO,170.6
2020,WARREN,168.0
2020,WASHINGTON,185.4
2020,WAYNE,168.8
2020,WEBSTER,173.1
2020,WINNEBAGO,207.1
2020,WINNESHIEK,178.2
2020,WOODBURY,191.0
2020,WORTH,205.7
2020,WRIGHT,186.0
2021,ALLAMAKEE,198.5
2021,APPANOOSE,171.6
2021,AUDUBON,216.0
2021,BENTON,211.7
2021,BLACK HAWK,193.6
2021,BOONE,208.4
2021,BREMER,200.1
